date,ticker,price
2024-01-01,AAPL,150.31401281304355
2024-01-02,AAPL,150.87387769485892
2024-01-03,AAPL,151.28715460987405
2024-01-04,AAPL,150.0434351095369
2024-01-05,AAPL,148.87692944510874
2024-01-06,AAPL,150.05000708473366
2024-01-07,AAPL,148.55605425513912
2024-01-08,AAPL,147.28861931028857
2024-01-09,AAPL,147.6455439549033
2024-01-10,AAPL,147.61742017870174
2024-01-11,AAPL,147.61601522795283
2024-01-12,AAPL,148.14158407601073
2024-01-13,AAPL,147.15886542283155
2024-01-14,AAPL,147.8034263211136
2024-01-15,AAPL,146.5181287959035
2024-01-16,AAPL,146.50222036608648
2024-01-17,AAPL,145.65206556139296
2024-01-18,AAPL,144.79167427232815
2024-01-19,AAPL,144.5231423575353
2024-01-20,AAPL,145.3835531401343
