date,ticker,price
2024-01-01,AAPL,150.3990310230019
2024-01-02,AAPL,149.46319978108238
2024-01-03,AAPL,150.85491043333315
2024-01-04,AAPL,150.42810558716116
2024-01-05,AAPL,151.3317605413399
2024-01-06,AAPL,150.989461843916
2024-01-07,AAPL,151.49890152907994
2024-01-08,AAPL,150.5443339837137
2024-01-09,AAPL,150.17474246640876
2024-01-10,AAPL,149.63075868750164
2024-01-11,AAPL,148.6859761797178
2024-01-12,AAPL,148.48877541353076
2024-01-13,AAPL,148.73063317687325
2024-01-14,AAPL,150.48018123995803
2024-01-15,AAPL,149.90742791312888
2024-01-16,AAPL,148.46816735531078
2024-01-17,AAPL,147.04768009902284
2024-01-18,AAPL,147.50380479670807
2024-01-19,AAPL,148.68256773480985
2024-01-20,AAPL,149.2661811499914
