date,ticker,price
2024-01-01,AAPL,150.34269378204752
2024-01-02,AAPL,150.43747185134592
2024-01-03,AAPL,149.82852491025844
2024-01-04,AAPL,151.55367514648066
2024-01-05,AAPL,150.8836522349914
2024-01-06,AAPL,150.6389478842741
2024-01-07,AAPL,152.41621956393246
2024-01-08,AAPL,151.20802871062222
2024-01-09,AAPL,152.68784522865445
2024-01-10,AAPL,154.95264167185115
2024-01-11,AAPL,154.19896701165916
2024-01-12,AAPL,154.63872723672804
2024-01-13,AAPL,153.4913665243002
2024-01-14,AAPL,153.99173206728992
2024-01-15,AAPL,153.7896842981433
2024-01-16,AAPL,151.74618656708688
2024-01-17,AAPL,151.54044353090435
2024-01-18,AAPL,151.89633751567143
2024-01-19,AAPL,153.1767636846843
2024-01-20,AAPL,153.63862887207847
